,Brand,Model,Color,Processor,RAM,Battery,Camera,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
368,Itel,Ace Young Without Charger,Horizon Orange,Mediatek G35 8x A53 2.3GHz Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,2400 mAh Li-ion Battery,108MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,NaN,NaN,"₹7,440",4.2,447 Ratings & 33 Reviews
369,NaN,NaN,Maldives Blue,MediaTek Helio G80 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,2400 mAh Li-ion Battery,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6.1 cm (2.4 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,"₹7,410",1% off,"₹7,335",4.2,447 Ratings & 33 Reviews
370,Redmi,"9A Sport (Metallic Blue, 32 GB)",NaN,MediaTek Helio G35 (MT6765G) Processor,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,3000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.33 cm (6.43 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,NaN,NaN,₹949,3.9,"6,931 Ratings & 553 Reviews"
371,Redmi,"9A Sport (Metallic Blue, 32 GB)",Galaxy Blue,MediaTek Dimensity 1200 Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,5000 mAh Lithium-ion Polymer Battery,12MP + 12MP | 12MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Manufacturer Warranty,NaN,NaN,"₹7,490",4.2,447 Ratings & 33 Reviews
372,Lava,Pulse1- with contactless Talking Thermometer,NaN,MediaTek Dimensity 1200 Processor,16 MB ROM | Expandable Upto 32 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,50MP Rear Camera,16.33 cm (6.43 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,NaN,NaN,"₹1,159",4.2,"19,246 Ratings & 1,838 Reviews"
373,NaN,NaN,NaN,MediaTek Dimensity 1200 Processor,64 MB RAM | 128 MB ROM | Expandable Upto 64 GB,6000 mAh Battery,108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,16.94 cm (6.67 inch) Display,1 Year Manufacturer Warranty,NaN,NaN,"₹1,235",4.1,"6,901 Ratings & 603 Reviews"
374,Xiaomi,"11i Hypercharge 5G (Purple Mist, 128 GB)",NaN,MediaTek Dimensity 1200 Processor,4 GB RAM | 64 GB ROM,800 mAh Battery,48MP + 8MP + 2MP | 16MP Front Camera,6.1 cm (2.4 inch) Display,1 Month Manufacturing Warranty,NaN,NaN,₹859,3.9,425 Ratings & 29 Reviews
375,OPPO,"A16 (Royal Gold, 64 GB)",NaN,MediaTek Dimensity 700 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4500 mAh Li-Polymer Battery,12MP + 12MP | 12MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹4,399",13% off,"₹3,799",3.9,"33,395 Ratings & 3,458 Reviews"
376,Itel,"Magic2 4G (WiFi, Hotspot Tethering)", WiFi,MediaTek Helio G95 Processor,2 GB RAM | 32 GB ROM,850 mAh Battery,12MP + 12MP | 12MP Front Camera,12.7 cm (5 inch) FWVGA Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,NaN,NaN,"₹2,440",4,"9,156 Ratings & 1,517 Reviews"
377,APPLE,"iPhone 12 (Blue, 128 GB)",Glacier White,2.0 GHz Mediatek P22 Octacore Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,5018 mAh Battery,108MP + 8MP + 2MP | 16MP Front Camera,12.7 cm (5 inch) FWVGA Display,6 Month Warranty,NaN,NaN,"₹16,999",4.3,246 Ratings & 15 Reviews
378,LAVA,A9,Carbon Black,Qualcomm Snapdragon 450 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Polymer Battery,13MP + 2MP + 2MP | 16MP Front Camera,15.49 cm (6.1 inch) HD+ Display,3 Months Company Warranty,"₹7,878",1% off,"₹7,758",4.1,168 Ratings & 4 Reviews
379,NaN,NaN,Horizon Orange,Qualcomm Snapdragon 720G Processor,8 GB RAM | 128 GB ROM,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,108MP + 8MP + 2MP | 32MP Front Camera,16.54 cm (6.51 inch) HD+ Display,10 Days Warranty,NaN,NaN,"₹7,440",4.2,447 Ratings & 33 Reviews
380,Redmi,"9A Sport (Carbon Black, 32 GB)",NaN,MediaTek Dimensity 800U Processor,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,5000 mAh Battery,0.3MP Rear Camera,16.51 cm (6.5 inch) Full HD Display,Brand Warranty of 1 Year Available for Mobile,NaN,NaN,₹949,3.9,"6,931 Ratings & 553 Reviews"
381,Itel,Power 400,Maldives Blue,Qualcomm Snapdragon 662 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Warranty,"₹7,410",1% off,"₹7,335",4.2,447 Ratings & 33 Reviews
382,NaN,NaN,NEO Green,Quad Core Processor,64 MB RAM | 64 MB ROM | Expandable Upto 16 MB,5000 mAh Battery,16MP Rear Camera | 8MP Front Camera,16.94 cm (6.67 inch) Full HD+ AMOLED Display,1 Year Warranty,"₹34,999",8% off,"₹31,999",4.4,"11,312 Ratings & 1,607 Reviews"
383,OPPO,"A11K (Flowing Silver, 32 GB)",NaN,SC6531C Processor,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,48MP + 2MP + 2MP + 2MP | 8MP Front Camera,3.66 cm (1.44 inch) QVGA Display,1 Year Manufacturer Warranty,NaN,NaN,"₹1,159",4.2,"19,246 Ratings & 1,838 Reviews"
384,MOTOROLA,"G10 Power (Aurora Grey, 64 GB)",Royal Gold,A15 Bionic Chip Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,5000 mAh Battery,0.3MP Rear Camera,16.94 cm (6.67 inch) Display,One Time Screen Replacement within 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹15,990",15% off,"₹13,490",4.3,"1,282 Ratings & 84 Reviews"
385,Redmi,"9A (Midnight Black, 32 GB)",NaN,MediaTek Helio A25 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,800 mAh Battery,48MP + 2MP + 2MP | 8MP Front Camera,13.72 cm (5.4 inch) Super Retina XDR Display,1 Year Manufacturer Warranty on Handset & 6 Months Warranty on Box Accessories,NaN,NaN,₹799,3.6,"1,024 Ratings & 98 Reviews"
386,SAMSUNG,"Galaxy A52 (Awesome Black, 128 GB)",NaN,MediaTek Helio A25 Processor,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1800 mAh Battery,0.3MP Rear Camera,16.54 cm (6.51 inch) HD+ Display,Brand Warranty for 1 Year,NaN,NaN,₹965,3.9,"4,764 Ratings & 415 Reviews"
387,Micromax,X741,NaN,MediaTek Helio G25 Processor,32 MB RAM | 32 MB ROM,800 mAh Battery,0.3MP Rear Camera,16.81 cm (6.62 inch) Full HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,₹779,8% off,₹715,3.6,352 Ratings & 35 Reviews
388,NaN,NaN,Diamond Dazzle,SC6531E Processor,30 MB RAM | 24 MB ROM,1200 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.56 cm (6.52 inch) Display,1 Year Warranty Provided by the Manufacturer From Date of Purchase,"₹26,642",2% off,"₹25,890",4.4,204 Ratings & 16 Reviews
389,Nokia,216 DS,NaN,Unisoc 9863A Octa Core Processor,32 MB RAM | 32 MB ROM,1900 mAh Lithium ion Battery,2MP Rear Camera,16.56 cm (6.52 inch) HD+ Display,"One Year Warranty for Handset, 6 Months for Accessories",NaN,NaN,₹849,3.6,10 Ratings & 0 Reviews
390,NaN,NaN,NaN,MediaTek Dimensity 700 Processor,4 MB RAM | 4 MB ROM,5018 mAh Battery,8MP Rear Camera | 5MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,"One Year Warranty for Handset, 6 Months for Accessories",NaN,NaN,₹999,4,65 Ratings & 8 Reviews
391,REDMI,"Note 10T 5G (Graphite Black, 64 GB)",NaN,Qualcomm Snapdragon 720G Processor,32 MB RAM | 32 MB ROM,5000 mAh Battery,0.3MP Rear Camera,16.56 cm (6.52 inch) HD+ Display,"One Year Warranty for Handset, 6 Months for Accessories","₹1,115",NaN,"₹1,105",3.8,16 Ratings & 1 Reviews
392,REDMI,"9 Activ (Metallic Purple, 64 GB)",NaN,Mediatek Helio G35 (MT6765) Processor,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,NaN,NaN,₹999,4,65 Ratings & 8 Reviews
393,POCO,"F3 GT (Predator Black, 128 GB)",NaN,MediaTek Helio P35 (MT6765) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,800 mAh Battery,0.3MP Rear Camera,6.6 cm (2.6 inch) QVGA Display,"One Time Screen Replacement within 100 Days, 1 Year Warranty on Mobile and 6 Months on Accessories.",NaN,NaN,"₹1,590",4,"11,350 Ratings & 1,185 Reviews"
394,Itel,IT2163,NaN,Cortex A53 architecture (Quad core) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,108MP + 8MP + 16MP | 32MP Front Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,"₹1,349",3% off,"₹1,299",4.2,"19,369 Ratings & 1,573 Reviews"
395,NaN,NaN,NaN,MediaTek Helio A25 Processor,128 GB ROM,5000 mAh Battery,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,NaN,NaN,"₹1,085",4.1,"24,665 Ratings & 2,001 Reviews"
396,SAMSUNG,"Galaxy A52 (Awesome Blue, 128 GB)",Stealth Black,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,6 GB RAM | 64 GB ROM,800 mAh Battery,108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,6.1 cm (2.4 inch) QVGA Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹31,999",15% off,"₹26,999",4.2,"1,389 Ratings & 192 Reviews"
397,Kechaoda,K115,White,MediaTek MT6261D Processor,8 GB RAM | 128 GB ROM,5000 mAh Battery,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,16.94 cm (6.67 inch) Display,Brand Warranty of 1 Year Available for Mobile,"₹15,999",18% off,"₹12,999",4.2,"3,629 Ratings & 310 Reviews"
398,NaN,NaN,Black,SC6531E Processor,10 MB RAM | 10 MB ROM,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,0.3MP Rear Camera,16.59 cm (6.53 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,NaN,NaN,"₹11,870",4.1,497 Ratings & 41 Reviews
399,Kechaoda,K115,Midnight,MediaTek Dimensity 700 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,1050 mAh Battery,1.3MP Rear Camera,16.56 cm (6.52 inch) Display,1 Year Manufacturer Warranty for Device,"₹79,900",6% off,"₹74,900",4.7,"1,937 Ratings & 207 Reviews"
400,NaN,NaN,Aquamarine Blue,MediaTek Helio G80 Processor,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1000 mAh Battery,108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,6  Month  Manufacturer Warranty for Device,NaN,NaN,"₹18,490",4.3,413 Ratings & 31 Reviews
401,LAVA,METAL 24,Stardust Black,Qualcomm Snapdragon 732G Processor,128 GB ROM,1100 mAh Battery,0.08MP Rear Camera,16.56 cm (6.52 inch) HD+ Display,1 year Warranty,"₹41,990",7% off,"₹38,990",4.3,"1,046 Ratings & 123 Reviews"
402,NaN,NaN,NaN,Helio P22 MT6762 Processor,128 GB ROM,4250 mAh Battery,48MP + 2MP + 2MP | 48MP Front Camera,16.81 cm (6.62 inch) Full HD+ Display,"One Year Warranty for Handset, 6 Months for Accessories",NaN,NaN,₹899,3.9,28 Ratings & 1 Reviews
403,Itel,Power 100 New,Sword Black,Mediatek Helio P35 (MT6765) Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,1050 mAh Battery,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹21,999",9% off,"₹19,999",4.3,"26,350 Ratings & 2,500 Reviews"
404,NaN,NaN,NaN,A13 Bionic Chip with 3rd Gen Neural Engine Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,3000 mAh Battery,12MP + 12MP | 12MP Front Camera,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹2,320",20% off,"₹1,849",4.2,222 Ratings & 38 Reviews
405,BlackZone,PRITHVI,Starlight,Qualcomm Snapdragon 439 Processor,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) QVGA Display,1 Year Manufacturer Warranty,"₹79,900",6% off,"₹74,900",4.7,"1,937 Ratings & 207 Reviews"
406,NaN,NaN,Pink,MediaTek Helio G25 Processor,4 MB RAM | 4 MB ROM,3000 mAh Battery,12MP + 12MP | 12MP Front Camera,4.57 cm (1.8 inch) Display,1 Year Warranty,"₹79,900",6% off,"₹74,900",4.7,"1,937 Ratings & 207 Reviews"
407,IAIR,"Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",Pacific Pearl,MediaTek Helio G85 Processor,8 GB RAM | 128 GB ROM,1800 mAh Li-Ion Battery,"12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording",3.66 cm (1.44 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹33,999",14% off,"₹28,999",4.3,"1,266 Ratings & 181 Reviews"
408,NaN,NaN,Starry Blue,MediaTek Helio P95 (MT6779V) Processor,30 MB RAM | 24 MB ROM,800 mAh Lithium Ion Battery,0.3MP Rear Camera,16.64 cm (6.55 inch) Full HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,"₹15,990",6% off,"₹14,990",4.3,"7,461 Ratings & 486 Reviews"
409,POCO,"M2 Pro (Green and Greener, 64 GB)",NaN,MediaTek Helio P35 (MT6765) Processor,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,850 mAh Battery,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,5.08 cm (2 inch) QVGA Display,12+1 Months Warranty,NaN,NaN,"₹1,399",3.5,167 Ratings & 24 Reviews
410,Itel,U20,NaN,Exynos 850 (S5E3830) Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4500 mAh Li-Polymer Battery,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,"₹2,176",NaN,"₹2,164",4,"1,780 Ratings & 120 Reviews"
411,NaN,NaN,Cyber Teal,Spreadtrum Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,108MP + 8MP + 16MP | 32MP Front Camera,4.5 cm (1.77 inch) Display,Brand Warranty of 13 Months Available for Mobile and 1 Time Screen Replacement,"₹25,999",11% off,"₹22,999",4.1,"5,977 Ratings & 779 Reviews"
412,Grabo,NORD,NaN,Unisoc 6531F Processor,32 MB RAM | 32 MB ROM,5000 mAh Lithium-ion Battery,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1 Year Warranty Provided by the Manufacturer From Date of Purchase,"₹1,115",NaN,"₹1,105",3.8,16 Ratings & 1 Reviews
413,NaN,NaN,NaN,MediaTek Helio P35 Processor,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,12MP Rear Camera | 7MP Front Camera,6.6 cm (2.6 inch) QVGA Display,1 Year Manufacturer Warranty,"₹1,300",1% off,"₹1,280",4.1,"2,151 Ratings & 207 Reviews"
