,Brand,Model,Processor,RAM,Operating System,Storage,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
401,DELL,Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,34.29 cm (13.5 inch) Touchscreen Display,1 Year Onsite Warranty,NaN,NaN,"₹1,01,681",NaN,NaN
402,ASUS,ExpertBook B9 Core i7 10th Gen - (16 GB/2 TB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and L...,Intel Core i5 Processor (11th Gen),16 GB LPDDR3 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",NaN,NaN,"₹2,33,990",NaN,NaN
403,Infinix,INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel Core i7 Processor (8th Gen),8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹59,999",16% off,"₹49,990",4.1,209 Ratings & 49 Reviews
404,Infinix,INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel Evo platform feat 11th Gen Intel Core i5 processor,8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,2 TB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹49,999",20% off,"₹39,999",4.3,505 Ratings & 121 Reviews
405,acer,Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/N...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year International Travelers Warranty (ITW),"₹1,30,990",18% off,"₹1,06,599",4.4,168 Ratings & 31 Reviews
406,ASUS,Zenbook Flip 13 OLED Touch Panel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX363EA-HP5...,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹1,16,990",18% off,"₹94,990",4.1,9 Ratings & 2 Reviews
407,ASUS,Ryzen 9 Octa Core 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX RTX...,Intel Core i3 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"₹2,10,990",29% off,"₹1,49,000",NaN,NaN
408,ASUS,ZenBook S Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX391UA-ET012T Thin and Light Lapt...,Intel Core i5 Processor (10th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹1,22,990",18% off,"₹99,990",4.3,30 Ratings & 7 Reviews
409,acer,Core i7 6th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 980...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,NaN,NaN,"₹1,16,640",NaN,NaN
410,MSI,Prestige 14 EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14 Evo A11M-436IN T...,Intel Evo platform feat 11th Gen Intel Core i5 processor,16 GB LPDDR4X RAM,Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹93,489",14% off,"₹79,990",5,11 Ratings & 4 Reviews
411,ASUS,Zenbook 14 (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX425EA-KI501TS Thin and L...,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,128 GB SSD for Reduced Boot Up Time and In Game Loading,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹90,990",21% off,"₹71,490",4.7,41 Ratings & 7 Reviews
412,HP,Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹1,22,803",6% off,"₹1,14,990",4.4,145 Ratings & 19 Reviews
413,Lenovo,ThinkBook 13s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Lig...,Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Warranty Term,"₹1,12,608",46% off,"₹59,990",5,6 Ratings & 1 Reviews
414,Lenovo,Ideapad 720S Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Lapt...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,NaN,NaN,"₹86,000",NaN,NaN
415,DELL,XPS Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) XPS 9310 Thin and Light Laptop,Intel Core i7 Processor (8th Gen),8 GB LPDDR4X RAM,Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,"₹1,55,720",10% off,"₹1,39,990",NaN,NaN
416,acer,Predator Helios 300 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVI...,AMD Ryzen 5 Hexa Core Processor (4th Gen),Upgradable SSD Upto 512 GB and RAM Upto 32 GB,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,NaN,NaN,"₹1,29,999",4.5,"3,227 Ratings & 694 Reviews"
417,Infinix,INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹49,999",20% off,"₹39,990",4.3,505 Ratings & 121 Reviews
